dateTime,temperature,humidity
2019-01-30 07:22:38.742925,22.98,29.89
2019-01-30 07:22:46.092927,23.00,29.87
2019-01-30 07:22:53.442004,23.01,29.68
2019-01-30 07:23:00.788196,22.98,29.59
2019-01-30 07:23:08.139200,22.97,29.72
2019-01-30 07:23:15.490338,22.98,29.70
2019-01-30 07:23:22.838357,22.96,29.57
2019-01-30 07:23:30.185382,22.96,29.56
2019-01-30 07:23:37.536412,22.98,29.68
2019-01-30 07:23:44.885476,22.98,29.64
2019-01-30 07:23:52.231527,22.99,29.62
2019-01-30 07:23:59.578619,22.98,29.54
2019-01-30 07:24:06.926794,23.00,29.54
2019-01-30 07:24:14.275834,22.99,29.49
2019-01-30 07:24:21.627856,22.98,29.51
2019-01-30 07:24:28.975932,22.97,29.47
2019-01-30 07:24:36.325964,23.00,29.59
2019-01-30 07:24:43.675046,22.99,29.49
2019-01-30 07:24:51.023093,23.00,29.74
2019-01-30 07:24:58.371131,23.03,29.81
2019-01-30 07:25:05.720181,23.07,29.71
2019-01-30 07:25:13.068357,23.07,29.51
2019-01-30 07:25:20.416407,23.09,29.48
2019-01-30 07:25:27.769446,23.11,29.23
2019-01-30 07:25:35.118537,23.12,29.21
2019-01-30 07:25:42.468592,23.12,29.23
2019-01-30 07:25:49.817607,23.12,29.21
2019-01-30 07:25:57.167663,23.13,29.22
2019-01-30 07:26:04.516724,23.13,29.13
2019-01-30 07:26:11.868897,23.14,29.13
2019-01-30 07:26:19.217955,23.14,29.10
2019-01-30 07:26:26.564000,23.16,29.10
2019-01-30 07:26:33.914122,23.16,28.94
2019-01-30 07:26:41.260139,23.16,28.82
2019-01-30 07:26:48.611150,23.15,28.77
2019-01-30 07:26:55.959209,23.16,28.87
2019-01-30 07:27:03.310342,23.17,28.91
2019-01-30 07:27:10.656303,23.17,28.85
2019-01-30 07:27:18.002526,23.18,28.75
2019-01-30 07:27:25.349616,23.16,28.64
2019-01-30 07:27:32.699611,23.16,28.63
2019-01-30 07:27:40.047643,23.17,28.69
2019-01-30 07:27:47.395710,23.20,28.67
2019-01-30 07:27:54.743750,23.20,28.66
2019-01-30 07:28:02.094844,23.21,28.54
2019-01-30 07:28:09.443866,23.20,28.55
2019-01-30 07:28:16.789934,23.18,28.57
2019-01-30 07:28:24.140069,23.21,28.61
2019-01-30 07:28:31.489127,23.22,28.65
2019-01-30 07:28:38.837226,23.21,28.61
2019-01-30 07:28:46.188254,23.25,28.69
2019-01-30 07:28:53.539302,23.26,28.61
2019-01-30 07:29:00.890379,23.25,28.51
