dateTime,temperature,pressure
2019-01-30 07:22:40.744498,23.69,100143.66
2019-01-30 07:22:48.094572,23.69,100146.36
2019-01-30 07:22:55.443588,23.68,100146.38
2019-01-30 07:23:02.789665,23.67,100145.56
2019-01-30 07:23:10.140727,23.67,100148.88
2019-01-30 07:23:17.491752,23.67,100146.56
2019-01-30 07:23:24.839807,23.66,100149.90
2019-01-30 07:23:32.187018,23.67,100146.22
2019-01-30 07:23:39.538045,23.67,100148.22
2019-01-30 07:23:46.887127,23.66,100149.40
2019-01-30 07:23:54.233129,23.66,100147.23
2019-01-30 07:24:01.580205,23.68,100150.20
2019-01-30 07:24:08.928191,23.67,100149.88
2019-01-30 07:24:16.277338,23.66,100147.23
2019-01-30 07:24:23.629383,23.65,100148.78
2019-01-30 07:24:30.977543,23.67,100149.39
2019-01-30 07:24:38.327585,23.67,100150.05
2019-01-30 07:24:45.676629,23.67,100149.22
2019-01-30 07:24:53.024690,23.68,100150.03
2019-01-30 07:25:00.372748,23.70,100148.64
2019-01-30 07:25:07.721805,23.69,100146.16
2019-01-30 07:25:15.069843,23.70,100148.64
2019-01-30 07:25:22.417884,23.70,100150.30
2019-01-30 07:25:29.770976,23.70,100149.97
2019-01-30 07:25:37.120008,23.71,100152.45
2019-01-30 07:25:44.470201,23.70,100149.63
2019-01-30 07:25:51.819248,23.70,100151.80
2019-01-30 07:25:59.169308,23.70,100153.12
2019-01-30 07:26:06.518410,23.70,100152.97
2019-01-30 07:26:13.870408,23.69,100150.52
2019-01-30 07:26:21.219494,23.70,100147.14
2019-01-30 07:26:28.565484,23.71,100156.11
2019-01-30 07:26:35.915596,23.69,100151.65
2019-01-30 07:26:43.261713,23.70,100157.47
2019-01-30 07:26:50.612767,23.70,100154.97
2019-01-30 07:26:57.960961,23.71,100151.46
2019-01-30 07:27:05.311922,23.71,100152.62
2019-01-30 07:27:12.657943,23.73,100154.05
2019-01-30 07:27:20.003983,23.72,100148.95
2019-01-30 07:27:27.351094,23.73,100156.05
2019-01-30 07:27:34.701145,23.73,100155.55
2019-01-30 07:27:42.049137,23.74,100153.53
2019-01-30 07:27:49.397328,23.73,100155.88
2019-01-30 07:27:56.745362,23.73,100155.55
2019-01-30 07:28:04.096435,23.74,100154.03
2019-01-30 07:28:11.445471,23.74,100156.36
2019-01-30 07:28:18.791513,23.76,100160.30
2019-01-30 07:28:26.141582,23.76,100156.64
2019-01-30 07:28:33.490666,23.76,100155.64
2019-01-30 07:28:40.838736,23.77,100155.78
2019-01-30 07:28:48.189877,23.79,100160.55
2019-01-30 07:28:55.540919,23.77,100158.28
2019-01-30 07:29:02.891977,23.77,100155.95
2019-01-30 07:29:10.242041,23.77,100154.12
2019-01-30 07:29:17.593072,23.78,100156.43
2019-01-30 07:29:24.941158,23.79,100156.04
2019-01-30 07:29:32.288272,23.79,100155.88
2019-01-30 07:29:39.639251,23.80,100155.69
2019-01-30 07:29:46.983438,23.81,100156.67
2019-01-30 07:29:54.331448,23.83,100156.77
2019-01-30 07:30:01.679627,23.82,100158.96
2019-01-30 07:30:09.029536,23.83,100158.78
2019-01-30 07:30:16.378645,23.83,100155.12
2019-01-30 07:30:23.727660,23.82,100160.45
2019-01-30 07:30:31.078871,23.84,100159.42
2019-01-30 07:30:38.429757,23.85,100157.70
2019-01-30 07:30:45.775796,23.84,100159.09
2019-01-30 07:30:53.124979,23.86,100159.89
2019-01-30 07:31:00.475092,23.85,100162.70
2019-01-30 07:31:07.829094,23.84,100159.76
2019-01-30 07:31:15.175175,23.85,100161.04
2019-01-30 07:31:22.524213,23.85,100160.87
2019-01-30 07:31:29.870314,23.85,100160.38
2019-01-30 07:31:37.221349,23.86,100159.06
2019-01-30 07:31:44.572383,23.86,100160.39
2019-01-30 07:31:51.920551,23.86,100162.22
2019-01-30 07:31:59.269598,23.86,100160.22
2019-01-30 07:32:06.613661,23.87,100159.05
2019-01-30 07:32:13.962756,23.87,100161.70
2019-01-30 07:32:21.308716,23.87,100163.55
2019-01-30 07:32:28.655813,23.87,100160.21
2019-01-30 07:32:36.002876,23.88,100162.16
2019-01-30 07:32:43.347900,23.90,100161.80
2019-01-30 07:32:50.695948,23.91,100158.28
2019-01-30 07:32:58.044153,23.90,100161.62
2019-01-30 07:33:05.390232,23.89,100161.13
2019-01-30 07:33:12.741268,23.90,100159.95
2019-01-30 07:33:20.089300,23.92,100161.56
2019-01-30 07:33:27.437306,23.92,100160.73
2019-01-30 07:33:34.783403,23.92,100161.39
2019-01-30 07:33:42.129599,23.93,100163.88
2019-01-30 07:33:49.477500,23.93,100162.55
2019-01-30 07:33:56.824718,23.94,100162.86
2019-01-30 07:34:04.171743,23.94,100162.70
2019-01-30 07:34:11.519808,23.95,100167.45
2019-01-30 07:34:18.867872,23.96,100166.62
2019-01-30 07:34:26.218929,23.97,100167.59
2019-01-30 07:34:33.566989,23.97,100162.45
2019-01-30 07:34:40.916050,23.97,100164.94
2019-01-30 07:34:48.260053,23.97,100164.56
2019-01-30 07:34:55.607135,23.97,100163.39
2019-01-30 07:35:02.952295,23.98,100164.71
2019-01-30 07:35:10.300334,23.98,100167.04
2019-01-30 07:35:17.646418,23.98,100163.71
2019-01-30 07:35:24.992450,23.99,100161.55
2019-01-30 07:35:32.337483,23.97,100162.56
2019-01-30 07:35:39.683530,24.00,100160.85
2019-01-30 07:35:47.033619,24.00,100160.52
2019-01-30 07:35:54.383652,24.00,100158.52
2019-01-30 07:36:01.730876,24.01,100160.80
2019-01-30 07:36:09.072901,24.01,100162.97
2019-01-30 07:36:16.420920,24.02,100163.78
2019-01-30 07:36:23.767016,24.01,100164.12
2019-01-30 07:36:31.116042,24.01,100165.95
2019-01-30 07:36:38.464089,24.00,100165.17
2019-01-30 07:36:45.810160,24.01,100167.95
2019-01-30 07:36:53.159278,24.02,100166.94
2019-01-30 07:37:00.509388,24.02,100168.45
2019-01-30 07:37:07.859415,24.01,100163.80
2019-01-30 07:37:15.206510,24.02,100167.45
2019-01-30 07:37:22.554550,24.02,100161.95
2019-01-30 07:37:29.901556,24.01,100168.62
2019-01-30 07:37:37.251632,24.02,100168.78
2019-01-30 07:37:44.597670,24.01,100165.30
2019-01-30 07:37:51.943857,24.01,100165.30
2019-01-30 07:37:59.289924,24.02,100170.44
2019-01-30 07:38:06.633982,24.00,100164.17
2019-01-30 07:38:13.980020,24.00,100163.84
2019-01-30 07:38:21.328076,24.00,100163.84
2019-01-30 07:38:28.674151,24.00,100163.01
2019-01-30 07:38:36.020170,23.99,100160.70
2019-01-30 07:38:43.373219,23.99,100159.20
2019-01-30 07:38:50.716279,24.00,100158.69
2019-01-30 07:38:58.063351,24.00,100162.02
2019-01-30 07:39:05.408522,23.99,100160.20
2019-01-30 07:39:12.755587,23.99,100159.53
2019-01-30 07:39:20.103637,23.98,100162.88
2019-01-30 07:39:27.450692,23.99,100159.54
2019-01-30 07:39:34.796725,23.99,100164.19
2019-01-30 07:39:42.145766,23.98,100159.39
2019-01-30 07:39:49.489813,23.98,100156.56
2019-01-30 07:39:56.840002,23.98,100158.38
2019-01-30 07:40:04.188074,23.96,100155.30
2019-01-30 07:40:11.536105,23.96,100158.95
2019-01-30 07:40:18.885138,23.95,100157.14
2019-01-30 07:40:26.233208,23.95,100157.97
2019-01-30 07:40:33.584240,23.95,100158.31
